DOY,SW,TA,VPD,PA,PAR,CA,ALB
71,11.005407359999998,297.5780000000001,680.1800000000001,98647.0,20.747460791498398,396.376,0.03573196713083207
72,13.922876160000001,298.0108,788.0199999999999,98542.4,26.89902939383136,397.81325,0.031148981161619568
73,15.701938559999999,298.244,780.8399999999999,98556.6,35.137452599999996,395.64875,0.02415525136845009
74,12.326307839999998,297.7734,665.1200000000001,98592.2,27.714286174463997,404.8785,0.024574283426138276
75,10.73348928,297.6566,671.26,98558.0,28.82079,399.07050000000004,0.02404016683789389
76,11.76297984,297.93739999999997,701.9,98501.8,27.882782764099193,399.26824999999997,0.024540602839408537
77,15.008906880000001,298.28900000000004,737.5000000000001,98492.6,35.7022015999776,403.5585,0.02289491252576202
78,14.62494528,298.6598,796.8799999999999,98523.4,38.7803099999808,404.31450000000007,0.023483854250377342
79,13.068259199999996,298.2106,681.8,98510.6,24.159116259561596,400.10175,0.026975903961020235
80,12.4825536,297.76599999999996,675.1200000000001,98501.4,24.7808939999904,398.857,0.026449982414936193
81,13.752443519999996,298.096,701.08,98513.8,31.082909999990402,404.58425,0.025503627973475225
82,13.8017088,298.398,743.0599999999998,98528.6,32.304355143407996,400.59549999999996,0.02542662915060666
83,14.1624288,297.8928,707.0400000000001,98551.4,28.991430344678395,399.59475000000003,0.024391828605685187
84,15.35020416,298.2166000000001,749.8799999999999,98550.4,37.0597212,399.533,0.023199447152797252
85,9.337679999999999,297.7806,650.46,98525.0,27.9356391999936,401.12375,0.024824544275875916
86,11.6165664,297.766,660.8,98549.2,32.0673245106528,401.725,0.0233699758690797
87,10.2551616,297.688,611.4799999999999,98576.6,26.8168169999808,395.54299999999995,0.024750845710002762
88,13.996056959999999,297.89760000000007,686.42,98556.2,33.9545225999808,397.048,0.02346298928672277
89,12.90408192,298.12540000000007,663.5800000000002,98580.4,31.3896729767328,395.5833333333333,0.025219085496629205
90,11.651160959999997,297.776,619.5,98577.8,21.073684593326398,398.028,0.028106467748464804
91,11.71103616,297.633,592.28,98609.4,20.6109915535008,399.0903333333333,0.02821839018116938
92,10.197550080000001,297.98900000000003,631.28,98602.8,24.784481200000318,394.92766666666665,0.025712733770997632
93,14.183423999999999,298.08219999999994,646.52,98588.2,33.205621558435205,396.85099999999994,0.025344662737927418
94,12.15376704,297.83820000000003,605.1600000000001,98613.2,21.8894687921664,398.71033333333327,0.027354536731746197
95,13.667806080000002,297.985,653.3399999999999,98621.8,30.800939051664,398.01500000000004,0.024445332615898242
96,15.623159039999999,298.27920000000006,758.88,98576.0,38.18574573914879,400.1703333333333,0.022920097174946877
97,15.148373760000002,298.77440000000007,802.1200000000001,98499.4,38.4442963636608,392.8633333333333,0.02304359799960199
98,12.307178879999999,298.33140000000003,702.3,98529.8,27.6662471489568,397.09833333333336,0.024726958041193212
99,14.10187968,298.3586,733.46,98560.2,30.5052780000096,397.8786666666667,0.025584852976334203
